=== 2026-07-05T09:20:45.801978+00:00 ===
C:\ProgramData\anaconda3\envs\NO_2D_Metamaterials\python.exe D:\Research\NO-2D-Metamaterials\train_from_disk.py --amp none --hidden-channels 128 --learning-rate 2e-3 --weight-decay 0 --scheduler steplr --step-size 1 --gamma 0.9 --eigen-ch0-encoding uniform --batch-size 520 --num-workers 2 --prefetch-factor 3 --seed 0 --progress-mode plain --epochs 12 --loss nmae

2026-07-05 05:20:59,817 | INFO | NMAE epsilon=1.000000e-05
2026-07-05 05:20:59,818 | INFO | Loss logging: active=nmae; every epoch records train/val nmae, MAE, and MSE
D:\Research\NO-2D-Metamaterials\train_from_disk.py:1858: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp == "fp16"))
2026-07-05 05:21:00,349 | INFO | Run started | run_name=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 run_id=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 device=cuda train_samples=18720000 test_samples=3900000 val_index_source=indices_full epoch_range=1..12
2026-07-05 05:21:00,349 | INFO | Fault diagnostics | main_fault_log=D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705\main_process_fault.log
E1/12 B26800/36000 batch_loss=2.3103e-01
E1/12 B26900/36000 batch_loss=2.4635e-01
E1/12 B27000/36000 batch_loss=3.5292e-01
E1/12 B27100/36000 batch_loss=3.5439e-01
E1/12 B27200/36000 batch_loss=3.3766e-01
E1/12 B27300/36000 batch_loss=3.3132e-01
E1/12 B27400/36000 batch_loss=2.4323e-01
E1/12 B27500/36000 batch_loss=2.4128e-01
E1/12 B27600/36000 batch_loss=2.5826e-01
E1/12 B27700/36000 batch_loss=3.2629e-01
E1/12 B27800/36000 batch_loss=2.1670e-01
E1/12 B27900/36000 batch_loss=3.3037e-01
E1/12 B28000/36000 batch_loss=2.3425e-01
E1/12 B28100/36000 batch_loss=2.4711e-01
E1/12 B28200/36000 batch_loss=2.6289e-01
E1/12 B28300/36000 batch_loss=8.9734e-01
E1/12 B28400/36000 batch_loss=4.7336e-01
E1/12 B28500/36000 batch_loss=3.0733e-01
E1/12 B28600/36000 batch_loss=2.8017e-01
E1/12 B28700/36000 batch_loss=3.5687e-01
E1/12 B28800/36000 batch_loss=3.6045e-01
E1/12 B28900/36000 batch_loss=2.6602e-01
E1/12 B29000/36000 batch_loss=2.5170e-01
E1/12 B29100/36000 batch_loss=2.4456e-01
E1/12 B29200/36000 batch_loss=2.5671e-01
E1/12 B29300/36000 batch_loss=2.8096e-01
E1/12 B29400/36000 batch_loss=2.5293e-01
E1/12 B29500/36000 batch_loss=2.1739e-01
E1/12 B29600/36000 batch_loss=2.3147e-01
E1/12 B29700/36000 batch_loss=2.3348e-01
E1/12 B29800/36000 batch_loss=3.3094e-01
E1/12 B29900/36000 batch_loss=3.4396e-01
E1/12 B30000/36000 batch_loss=3.3841e-01
E1/12 B30100/36000 batch_loss=3.0378e-01
E1/12 B30200/36000 batch_loss=3.7082e-01
E1/12 B30300/36000 batch_loss=2.5161e-01
E1/12 B30400/36000 batch_loss=2.3636e-01
E1/12 B30500/36000 batch_loss=3.3838e-01
E1/12 B30600/36000 batch_loss=2.2869e-01
E1/12 B30700/36000 batch_loss=3.4623e-01
E1/12 B30800/36000 batch_loss=3.4364e-01
E1/12 B30900/36000 batch_loss=3.4159e-01
E1/12 B31000/36000 batch_loss=2.2403e-01
E1/12 B31100/36000 batch_loss=3.3460e-01
