=== 2026-07-04T02:59:58.545269+00:00 ===
C:\ProgramData\anaconda3\envs\NO_2D_Metamaterials\python.exe D:\Research\NO-2D-Metamaterials\train_from_disk.py --amp none --hidden-channels 128 --learning-rate 2e-3 --weight-decay 0 --scheduler steplr --step-size 1 --gamma 0.9 --eigen-ch0-encoding uniform --batch-size 520 --num-workers 2 --prefetch-factor 3 --seed 0 --progress-mode plain --resume-run-dir D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701 --extend-epochs 8 --loss mse --reset-optimizer-scheduler

2026-07-03 23:00:13,372 | INFO | Loss logging: active=mse; every epoch records train/val mse, MAE, and MSE
D:\Research\NO-2D-Metamaterials\train_from_disk.py:1858: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp == "fp16"))
2026-07-03 23:00:14,380 | INFO | Resumed model weights from D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701\training_state_latest.pt at epoch=12; reset optimizer/scheduler to lr=2.000e-03 gamma=0.9 (not restoring saved optimizer state).
2026-07-03 23:00:14,383 | INFO | Run started | run_name=NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701 run_id=NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701 device=cuda train_samples=18720000 test_samples=3900000 val_index_source=indices_full epoch_range=13..20
2026-07-03 23:00:14,383 | INFO | Fault diagnostics | main_fault_log=D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701\main_process_fault.log
E13/20 B16200/36000 batch_loss=1.8644e-04
E13/20 B16300/36000 batch_loss=2.0226e-04
E13/20 B16400/36000 batch_loss=1.9730e-04
E13/20 B16500/36000 batch_loss=1.8412e-04
E13/20 B16600/36000 batch_loss=1.8837e-04
E13/20 B16700/36000 batch_loss=1.8577e-04
E13/20 B16800/36000 batch_loss=1.8941e-04
E13/20 B16900/36000 batch_loss=1.9726e-04
E13/20 B17000/36000 batch_loss=1.8483e-04
E13/20 B17100/36000 batch_loss=1.8700e-04
E13/20 B17200/36000 batch_loss=1.8266e-04
E13/20 B17300/36000 batch_loss=1.8410e-04
E13/20 B17400/36000 batch_loss=1.8439e-04
E13/20 B17500/36000 batch_loss=1.8418e-04
E13/20 B17600/36000 batch_loss=1.8553e-04
E13/20 B17700/36000 batch_loss=1.8205e-04
E13/20 B17800/36000 batch_loss=1.7715e-04
E13/20 B17900/36000 batch_loss=1.8586e-04
E13/20 B18000/36000 batch_loss=1.7730e-04
E13/20 B18100/36000 batch_loss=1.8387e-04
E13/20 B18200/36000 batch_loss=1.8292e-04
E13/20 B18300/36000 batch_loss=1.8247e-04
E13/20 B18400/36000 batch_loss=1.7425e-04
E13/20 B18500/36000 batch_loss=1.7786e-04
E13/20 B18600/36000 batch_loss=1.8649e-04
E13/20 B18700/36000 batch_loss=1.7945e-04
E13/20 B18800/36000 batch_loss=1.8342e-04
E13/20 B18900/36000 batch_loss=1.8340e-04
E13/20 B19000/36000 batch_loss=1.7641e-04
E13/20 B19100/36000 batch_loss=1.7974e-04
E13/20 B19200/36000 batch_loss=1.8311e-04
E13/20 B19300/36000 batch_loss=2.2888e-04
E13/20 B19400/36000 batch_loss=1.9625e-04
E13/20 B19500/36000 batch_loss=1.7982e-04
E13/20 B19600/36000 batch_loss=1.8007e-04
E13/20 B19700/36000 batch_loss=1.7935e-04
E13/20 B19800/36000 batch_loss=1.7605e-04
E13/20 B19900/36000 batch_loss=1.8066e-04
E13/20 B20000/36000 batch_loss=1.7686e-04
E13/20 B20100/36000 batch_loss=1.6664e-04
E13/20 B20200/36000 batch_loss=1.7667e-04
E13/20 B20300/36000 batch_loss=1.7513e-04
E13/20 B20400/36000 batch_loss=1.6199e-04
E13/20 B20500/36000 batch_loss=1.6806e-04
E13/20 B20600/36000 batch_loss=1.7070e-04
E13/20 B20700/36000 batch_loss=1.6688e-04
E13/20 B20800/36000 batch_loss=1.6705e-04
E13/20 B20900/36000 batch_loss=1.5634e-04
E13/20 B21000/36000 batch_loss=1.6737e-04
E13/20 B21100/36000 batch_loss=1.5802e-04
E13/20 B21200/36000 batch_loss=1.6423e-04
E13/20 B21300/36000 batch_loss=1.5813e-04
E13/20 B21400/36000 batch_loss=1.6444e-04
E13/20 B21500/36000 batch_loss=1.5084e-04
E13/20 B21600/36000 batch_loss=1.5153e-04
E13/20 B21700/36000 batch_loss=1.7388e-04
E13/20 B21800/36000 batch_loss=1.5297e-04
E13/20 B21900/36000 batch_loss=1.4787e-04
E13/20 B22000/36000 batch_loss=1.5933e-04
E13/20 B22100/36000 batch_loss=1.5652e-04
E13/20 B22200/36000 batch_loss=1.4820e-04
E13/20 B22300/36000 batch_loss=1.6291e-04
E13/20 B22400/36000 batch_loss=1.6110e-04
E13/20 B22500/36000 batch_loss=1.4984e-04
