=== 2026-07-07T08:09:36.191712+00:00 ===
C:\ProgramData\anaconda3\envs\NO_2D_Metamaterials\python.exe D:\Research\NO-2D-Metamaterials\train_from_disk.py --amp none --hidden-channels 128 --learning-rate 2e-3 --weight-decay 0 --scheduler steplr --step-size 1 --gamma 0.9 --eigen-ch0-encoding uniform --batch-size 520 --num-workers 2 --prefetch-factor 3 --seed 0 --progress-mode plain --resume-run-dir D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 --extend-epochs 8 --loss mae --reset-optimizer-scheduler

2026-07-07 04:09:50,067 | INFO | Loss logging: active=mae; every epoch records train/val mae, MAE, and MSE
D:\Research\NO-2D-Metamaterials\train_from_disk.py:1858: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp == "fp16"))
2026-07-07 04:09:50,912 | INFO | Resumed model weights from D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705\training_state_latest.pt at epoch=12; reset optimizer/scheduler to lr=2.000e-03 gamma=0.9 (not restoring saved optimizer state).
2026-07-07 04:09:50,915 | INFO | Run started | run_name=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 run_id=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 device=cuda train_samples=18720000 test_samples=3900000 val_index_source=indices_full epoch_range=13..20
2026-07-07 04:09:50,915 | INFO | Fault diagnostics | main_fault_log=D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705\main_process_fault.log
E13/20 B23300/36000 batch_loss=2.0841e-03
E13/20 B23400/36000 batch_loss=2.0514e-03
E13/20 B23500/36000 batch_loss=2.0735e-03
E13/20 B23600/36000 batch_loss=1.5194e-03
E13/20 B23700/36000 batch_loss=2.0950e-03
E13/20 B23800/36000 batch_loss=1.4121e-03
E13/20 B23900/36000 batch_loss=1.9701e-03
E13/20 B24000/36000 batch_loss=2.1363e-03
E13/20 B24100/36000 batch_loss=1.3419e-03
E13/20 B24200/36000 batch_loss=2.0681e-03
E13/20 B24300/36000 batch_loss=2.0362e-03
E13/20 B24400/36000 batch_loss=2.0743e-03
E13/20 B24500/36000 batch_loss=2.2893e-03
E13/20 B24600/36000 batch_loss=2.0309e-03
E13/20 B24700/36000 batch_loss=1.4631e-03
E13/20 B24800/36000 batch_loss=1.2922e-03
E13/20 B24900/36000 batch_loss=2.0402e-03
E13/20 B25000/36000 batch_loss=2.8971e-03
E13/20 B25100/36000 batch_loss=2.2672e-03
E13/20 B25200/36000 batch_loss=1.3589e-03
E13/20 B25300/36000 batch_loss=1.4564e-03
E13/20 B25400/36000 batch_loss=1.2799e-03
E13/20 B25500/36000 batch_loss=1.6960e-03
E13/20 B25600/36000 batch_loss=2.0242e-03
E13/20 B25700/36000 batch_loss=2.0152e-03
E13/20 B25800/36000 batch_loss=2.0683e-03
E13/20 B25900/36000 batch_loss=1.3111e-03
E13/20 B26000/36000 batch_loss=1.5266e-03
E13/20 B26100/36000 batch_loss=1.5799e-03
E13/20 B26200/36000 batch_loss=2.0495e-03
E13/20 B26300/36000 batch_loss=1.9118e-03
E13/20 B26400/36000 batch_loss=1.6367e-03
E13/20 B26500/36000 batch_loss=2.3041e-03
E13/20 B26600/36000 batch_loss=1.9861e-03
E13/20 B26700/36000 batch_loss=1.2755e-03
E13/20 B26800/36000 batch_loss=1.3787e-03
E13/20 B26900/36000 batch_loss=2.0408e-03
E13/20 B27000/36000 batch_loss=2.0470e-03
E13/20 B27100/36000 batch_loss=1.5502e-03
E13/20 B27200/36000 batch_loss=2.0247e-03
E13/20 B27300/36000 batch_loss=1.4609e-03
E13/20 B27400/36000 batch_loss=1.4607e-03
E13/20 B27500/36000 batch_loss=1.8770e-03
E13/20 B27600/36000 batch_loss=2.1431e-03
E13/20 B27700/36000 batch_loss=1.4275e-03
E13/20 B27800/36000 batch_loss=1.2305e-03
E13/20 B27900/36000 batch_loss=2.1507e-03
E13/20 B28000/36000 batch_loss=2.1604e-03
E13/20 B28100/36000 batch_loss=1.3658e-03
E13/20 B28200/36000 batch_loss=2.3120e-03
E13/20 B28300/36000 batch_loss=2.0917e-03
E13/20 B28400/36000 batch_loss=1.4695e-03
E13/20 B28500/36000 batch_loss=1.4386e-03
E13/20 B28600/36000 batch_loss=1.4910e-03
E13/20 B28700/36000 batch_loss=2.0629e-03
E13/20 B28800/36000 batch_loss=2.0029e-03
E13/20 B28900/36000 batch_loss=1.4780e-03
E13/20 B29000/36000 batch_loss=1.5874e-03
E13/20 B29100/36000 batch_loss=2.0122e-03
E13/20 B29200/36000 batch_loss=1.4125e-03
E13/20 B29300/36000 batch_loss=2.3873e-03
E13/20 B29400/36000 batch_loss=1.5157e-03
E13/20 B29500/36000 batch_loss=1.5769e-03
E13/20 B29600/36000 batch_loss=1.7734e-03
E13/20 B29700/36000 batch_loss=2.6310e-03
E13/20 B29800/36000 batch_loss=2.2605e-03
E13/20 B29900/36000 batch_loss=2.1369e-03
E13/20 B30000/36000 batch_loss=1.4817e-03
E13/20 B30100/36000 batch_loss=1.9536e-03
E13/20 B30200/36000 batch_loss=2.1280e-03
E13/20 B30300/36000 batch_loss=1.4793e-03
E13/20 B30400/36000 batch_loss=1.3133e-03
E13/20 B30500/36000 batch_loss=2.2477e-03
E13/20 B30600/36000 batch_loss=2.0493e-03
E13/20 B30700/36000 batch_loss=1.4923e-03
E13/20 B30800/36000 batch_loss=1.4546e-03
E13/20 B30900/36000 batch_loss=2.6686e-03
E13/20 B31000/36000 batch_loss=1.5095e-03
E13/20 B31100/36000 batch_loss=1.4837e-03
E13/20 B31200/36000 batch_loss=1.5825e-03
